Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-1282.06	-1498.302	216.2411	0.9975222	0.99495	0.00504993	2.942985
6	-1255.939	-1471.72	215.7806	0.9830589	0.995776	0.00422428	3.226393
12	-1262.652	-1479.007	216.355	0.969933	0.999905	9.52779e-05	2.890853
18	-1269.822	-1484.152	214.3304	0.7588071	0.999886	0.000113822	4.194915
24	-1272.847	-1487.098	214.2503	0.8388344	0.999594	0.000406488	4.194915
30	-1268.222	-1484.274	216.0524	0.8998077	0.999882	0.000118081	3.114514
36	-1281.413	-1495.825	214.4123	1.014108	0.999854	0.000146351	4.002844
42	-1257.331	-1473.071	215.7396	0.8863564	0.999505	0.000495086	3.307689
48	-1269.555	-1485.645	216.0902	0.9993204	0.999179	0.000821384	3.032502
54	-1283.675	-1497.301	213.6266	0.9819366	0.999396	0.000603987	4.466606
60	-1280.053	-1496.905	216.8517	1.096778	0.998268	0.00173216	2.508069
66	-1280.852	-1498.146	217.2944	1.292688	0.998785	0.00121515	2.09995
72	-1284.674	-1502.468	217.7944	1.27103	0.999957	4.28415e-05	1.777428
78	-1287.486	-1505.082	217.5964	1.392833	0.999938	6.15949e-05	1.830144
84	-1287.426	-1504.84	217.4134	1.256593	0.999941	5.8734e-05	2.045345
90	-1281.395	-1498.552	217.1567	1.13736	0.999474	0.000526491	2.289759
96	-1278.903	-1495.44	216.537	0.9926483	0.99973	0.000270027	2.766541
102	-1259.407	-1474.603	215.1956	0.8450708	0.998918	0.00108216	3.649523
108	-1268.02	-1484.061	216.0412	0.8572941	0.999068	0.000931794	3.146426
114	-1262.905	-1479.166	216.2613	0.976074	0.999396	0.000604446	2.943684
120	-1274.103	-1489.632	215.5289	0.8945193	0.999284	0.000715538	3.426641
126	-1273.425	-1489.91	216.4855	1.126777	0.999355	0.000645162	2.716008
132	-1278.71	-1495.659	216.9497	1.088618	0.99948	0.000520017	2.451803
138	-1280.91	-1497.54	216.6292	1.354882	0.999463	0.000537333	2.485841
144	-1266.404	-1482.97	216.566	1.098142	0.999546	0.000453898	2.684148
150	-1280.538	-1497.069	216.5311	1.226404	0.999003	0.000996955	2.626669
156	-1273.622	-1490.622	217.0002	1.114738	0.989643	0.0103566	2.403594
162	-1271.677	-1488.423	216.7463	0.87498	0.993345	0.00665481	2.710486
168	-1274.845	-1489.969	215.124	0.8075912	0.99205	0.00795024	3.712659
174	-1278.362	-1492.405	214.0431	0.7609711	0.994275	0.00572494	4.356361
180	-1284.709	-1499.612	214.9025	0.7991088	0.987018	0.0129815	3.845175
186	-1285.584	-1501.703	216.1191	0.9360087	0.986927	0.0130729	3.053084
192	-1266.56	-1481.986	215.4258	0.8548889	0.993958	0.00604233	3.510015
198	-1274.417	-1489.5	215.0828	0.9347246	0.994357	0.00564346	3.662912
204	-1282.124	-1499.483	217.3592	1.3444	0.979951	0.0200487	2.023064
210	-1275.964	-1493.22	217.2558	1.415653	0.985811	0.0141886	2.04441
216	-1275.264	-1491.765	216.5011	1.149604	0.984863	0.0151371	2.692431
222	-1279.868	-1496.371	216.5027	1.12271	0.98339	0.0166102	2.707966
228	-1277.468	-1492.611	215.1433	0.8884002	0.969497	0.030503	3.654706
234	-1271.913	-1487.636	215.7229	0.9917192	0.976445	0.0235551	3.255404
240	-1286.036	-1501.599	215.5627	0.9719585	0.975711	0.0242887	3.361416
246	-1279.643	-1495.083	215.4403	0.794715	0.97698	0.0230199	3.536622
252	-1271.908	-1487.632	215.7238	0.9599939	0.973751	0.0262495	3.27363
258	-1264.647	-1480.304	215.6576	1.034695	0.988216	0.0117836	3.26862
264	-1273.58	-1489.268	215.6878	1.004427	0.990968	0.00903163	3.26862
